uf_nome,uf_sigla,uf_cod,populacao
Acre,AC,12,829780
Alagoas,AL,27,3125254
Amapá,AP,16,774268
Amazonas,AM,13,3952262
Bahia,BA,29,14659023
Ceará,CE,23,8936431
Distrito Federal,DF,53,2923369
Espírito Santo,ES,32,3975100
Goiás,GO,52,6950976
Maranhão,MA,21,6800605
Mato Grosso,MT,51,3784239
Mato Grosso do Sul,MS,50,2833742
Minas Gerais,MG,31,20732660
Pará,PA,15,8442962
Paraíba,PB,25,4030961
Paraná,PR,41,11835379
Pernambuco,PE,26,9051113
Piauí,PI,22,3270174
Rio de Janeiro,RJ,33,16615526
Rio Grande do Norte,RN,24,3303953
Rio Grande do Sul,RS,43,11088065
Rondônia,RO,11,1616379
Roraima,RR,14,634805
Santa Catarina,SC,42,7762154
São Paulo,SP,35,46024937
Sergipe,SE,28,2211868
Tocantins,TO,17,1584306
